date,seaice_extent
2024-03-13,291379.12179161434
2024-03-14,290794.317126791
2024-03-15,291963.08043459663
2024-03-16,294869.9381905731
2024-03-17,294869.9381905731
2024-03-18,297785.87467258034
2024-03-19,301854.07048299594
2024-03-20,298952.3757032157
2024-03-21,292543.5849524158
2024-03-22,290799.6387886104
2024-03-23,291963.997783636
2024-03-24,294875.1904401174
2024-03-25,301279.3484718637
2024-03-26,302443.4060904274
2024-03-27,304185.61850643146
2024-03-28,303607.57876543433
2024-03-29,305350.7873040603
2024-03-30,307092.3987591349
2024-03-31,307672.33935148106
2024-04-01,308252.35038991465
2024-04-02,301280.3486557603
2024-04-03,296622.9539001591
2024-04-04,291971.20671358635
2024-04-05,289061.4945349222
2024-04-06,286729.54892311187
2024-04-07,291390.2289801995
2024-04-08,297794.94693823863
2024-04-09,298371.75653832045
2024-04-10,286145.75945007784
2024-04-11,293726.7566486287
2024-04-12,301288.4498494987
2024-04-13,296637.3658289609
2024-04-14,290232.84099607175
2024-04-15,286740.7917640281
2024-04-16,287327.43460558716
2024-04-17,301288.90091914765
2024-04-18,306511.4972424512
2024-04-19,305348.9431291791
2024-04-20,302446.18817110325
2024-04-21,299540.35881713754
2024-04-22,303029.9048192301
2024-04-23,300704.3723420341
2024-04-24,298378.49746497977
2024-04-25,293143.9986743226
2024-04-26,293145.46101751097
2024-04-27,294307.17175722413
2024-04-28,295468.87872331764
2024-04-29,295465.8911346899
2024-04-30,290224.21048311266
2024-05-01,289643.5945148305
2024-05-02,287888.1641104517
2024-05-03,287260.6539416318
2024-05-04,283081.0685834496
2024-05-05,276556.0023863272
2024-05-06,273458.1491803796
2024-05-07,285477.4044656765
2024-05-08,289574.9490667247
2024-05-09,291319.478422988
2024-05-10,286442.33720028633
2024-05-11,268626.04756320606
2024-05-12,247448.75648591088
2024-05-13,236204.92211914205
2024-05-14,234423.04277404348
2024-05-15,238427.76585379592
2024-05-16,217973.8982420978
2024-05-17,187156.47508744022
2024-05-18,163178.16365102387
2024-05-19,144864.98031156548
2024-05-20,142037.8957716256
2024-05-21,125747.49588989753
2024-05-22,89686.60060901327
2024-05-23,81288.27252777545
2024-05-24,72991.92890481137
2024-05-25,69415.43101522374
2024-05-26,67021.41451505611
2024-05-27,62286.20016199935
2024-05-28,56872.67097473648
2024-05-29,53885.67563294017
2024-05-30,51546.126223646264
2024-05-31,47960.08355902143
2024-06-01,46764.18549307139
2024-06-02,49743.496821780165
2024-06-03,45490.19186956719
2024-06-04,31681.648628144467
2024-06-05,35309.7453321376
2024-06-06,31755.579557473902
2024-06-07,28758.913224212316
2024-06-08,27527.49071755296
2024-06-09,15533.44615508064
2024-06-10,17350.160157941184
2024-06-11,10728.199293102012
2024-06-12,14329.759434684242
2024-06-13,10757.044394669396
2024-06-14,13178.700703965858
2024-06-15,7182.564174869143
2024-06-16,6551.699968913117
2024-06-17,7117.075426920651
2024-06-18,1777.911146618305
2024-06-19,8326.025266448243
2024-06-20,7751.149473775815
2024-06-21,7136.64899820056
2024-06-22,7741.447330362954
2024-06-23,5378.811707413593
2024-06-24,5948.553710993785
2024-06-25,4136.645061393057
2024-06-26,7688.027738489699
2024-06-27,18440.16251915806
2024-06-28,12524.39797231472
2024-06-29,6501.714894024959
2024-06-30,6537.738439687282
2024-07-01,1774.4573263671437
2024-07-02,4776.833707049754
2024-07-03,3579.2689561096986
2024-07-04,3579.2689561096986
2024-07-05,6579.29572764242
2024-07-06,7786.206358238443
2024-07-07,6582.599887328573
2024-07-08,2980.6478086115267
2024-07-09,5378.585619984969
2024-07-10,2976.419983795404
2024-07-11,7183.369076006137
2024-07-12,8981.76867139835
2024-07-13,15003.604723859493
2024-07-14,7181.6184007422835
2024-07-15,4180.565899004938
2024-07-16,1777.911146618305
2024-07-17,3580.3563190722953
2024-07-18,2971.0851192847886
2024-07-19,4176.791355178544
2024-07-20,2975.3064145208564
2024-07-21,2376.051726047691
2024-07-22,1774.4573263671437
2024-07-23,1774.4573263671437
2024-07-24,2380.445796062647
2024-07-25,2375.5963515212898
2024-07-26,7777.3159293716935
2024-07-27,11391.63444610352
2024-07-28,5384.508122458624
2024-07-29,7177.088584067731
2024-07-30,3579.434520138315
2024-07-31,5379.056203423631
2024-08-01,1171.9226769228019
2024-08-02,1171.9226769228019
2024-08-03,1171.9226769228019
2024-08-04,1171.9226769228019
2024-08-05,1171.9226769228019
2024-08-06,1171.9226769228019
2024-08-07,1171.9226769228019
2024-08-08,1171.9226769228019
2024-08-09,1171.9226769228019
2024-08-10,1171.9226769228019
2024-08-11,1171.9226769228019
2024-08-12,1171.9226769228019
2024-08-13,1171.9226769228019
2024-08-14,1171.9226769228019
2024-08-15,1171.9226769228019
2024-08-16,1171.9226769228019
2024-08-17,1171.9226769228019
2024-08-18,1777.911146618305
